Name,Type,Address,Phone,PhotoOnSite,Comments,Distance,phone,Jun18,OK
USPS BOYNTON BEACH MAIN POST OFFICE,Postal,"1530 W BOYNTON BEACH BLVD BOYNTON BEACH, FL 33436",5617371702,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",50,,JUN 18 No Appointments,False
USPS TAVERNIER POST OFFICE,Postal,"91220 OVERSEAS HWY TAVERNIER, FL 33070",3058531230,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",57,,JUN 18,True
USPS PALMS WEST POST OFFICE,Postal,"10299 SOUTHERN BLVD ROYAL PALM BEACH, FL 33411",5612463482,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",64,,JUN 18 No Appointments,False
USPS DOWNTOWN WEST PALM BEACH POST OFFICE,Postal,"640 CLEMATIS ST WEST PALM BEACH, FL 33401",5618330929,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",64,,JUN 18 No Appointments,False
USPS HAVERHILL STATION,Postal,"3900 N HAVERHILL RD WEST PALM BEACH, FL 33417",5616830683,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",64,,JUN 18 No Appointments,False
USPS WEST PALM BEACH MOWU,Postal,"3200 SUMMIT BLVD WEST PALM BEACH, FL 33416",5616972123,Yes,Appointments- Website: usps.com/scheduler,64,,JUN 18 No Appointments,False
USPS RIVIERA BEACH POST OFFICE,Postal,"1905 W BLUE HERON BLVD RIVIERA BEACH, FL 33404",5618411920,Yes,***BY APPOINTMENT ONLY**To schedule an appointment visit: http://www.usps.com/international/passports.htm,69,,JUN 18 No Appointments,False
USPS ISLAMORADA POST OFFICE,Postal,"82801 OVERSEAS HWY ISLAMORADA, FL 33036",3056644738,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",71,,JUN 18,True
USPS PALM BEACH GARDENS BRANCH,Postal,"3330 FAIRCHILD GARDENS AVE PALM BEACH GARDENS, FL 33410",5617994068,Yes,***By Appointment Only** Visit our Website: https://www.usps.com/international/passports.htm,74,,JUN 18 No Appointments,False
USPS INDIANTOWN POST OFFICE,Postal,"15300 SW ADAMS AVE INDIANTOWN, FL 34956",7725972406,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",93,,JUN 18,True
USPS JENSEN BEACH POST OFFICE,Postal,"2301 NE SAVANNAH RD JENSEN BEACH, FL 34957",7722320869,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",100,,JUN 18,True
USPS BONITA SPRINGS POST OFFICE,Postal,"26150 OLD 41ST ROAD BONITA SPRINGS, FL 34135",2399929742,Yes,"***BY APPOINTMENT ONLY*** For appointments, visit www.usps.com/scheduler",104,,JUN 18,True
USPS BIG PINE KEY POST OFFICE,Postal,"29959 OVERSEAS HWY BIG PINE KEY, FL 33043",3058722531,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",105,,JUN 18,True
USPS LEHIGH ACRES POST OFFICE,Postal,"1201 BUSINESS WAY LEHIGH ACRES, FL 33936",2393698911,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",105,,JUN 18,True
USPS ALVA POST OFFICE,Postal,"17301 BROADWAY ST ALVA, FL 33920",2397283924,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",109,,JUN 18,True
USPS FORT PIERCE MAIN POST OFFICE,Postal,"5000 W MIDWAY RD FORT PIERCE, FL 34981",7724600841,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler or call 855-864-3379",111,855-864-3379,JUN 18,True
USPS SUMMERLAND KEY POST OFFICE,Postal,"24700 OVERSEAS HWY SUMMERLAND KEY, FL 33042",3057453391,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",115,,JUN 18,True
USPS PAGE FIELD POST OFFICE,Postal,"2655 N AIRPORT RD FORT MYERS, FL 33907",2392773336,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",117,,JUN 18,True
USPS KEY WEST POST OFFICE,Postal,"400 WHITEHEAD ST KEY WEST, FL 33040",3052943982,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",125,,JUN 18,True
USPS LAKE PLACID POST OFFICE,Postal,"901 HILLCREST AVE LAKE PLACID, FL 33852",8636996777,Yes,"***BY APPOINTMENT ONLY*** (863) 699-6777 To schedule an appointment, visit: http://www.usps.com/scheduler.",126,863-699-6777,JUN 18,True
USPS BOKEELIA MAIN POST OFFICE,Postal,"15980 STRINGFELLOW RD BOKEELIA, FL 33922",2392834258,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",134,,JUN 18 No Appointments,False
USPS FELLSMERE POST OFFICE,Postal,"15 N OAK ST FELLSMERE, FL 32948",7725718315,Yes,***BY APPOINTMENT ONLY*** To schedule an appointment you may call 321 571-8315 or visit: http://www.usps.com/scheduler.,139,321-571-8315,JUN 18,True
USPS SEBRING MAIN POST OFFICE,Postal,"518 N RIDGEWOOD DR SEBRING, FL 33870",8633820578,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",141,,JUN 18,True
ROSELAND POST OFFICE,Postal,"13305 ROSELAND ROAD ROSELAND, FL 32957",7725895095,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler",142,,JUN 18,True
USPS LAKE JACKSON BRANCH,Postal,"829 MALL RING RD SEBRING, FL 33872",8633824633,No,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",143,,JUN 18 No Appointments,False
USPS ENGLEWOOD MAIN POST OFFICE,Postal,"950 S RIVER RD ENGLEWOOD, FL 34223",9414758372,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",157,,JUN 18 No Appointments,False
USPS WAUCHULA MAIN POST OFFICE,Postal,"300 E MAIN ST WAUCHULA, FL 33873",8637735811,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",158,,JUN 18,True
USPS MELBOURNE MAIN POST OFFICE,Postal,"640 E NEW HAVEN AVE MELBOURNE, FL 32901",3217241488,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",160,,JUN 18,True
USPS GULF GATE POST OFFICE,Postal,"2875 ASHTON RD SARASOTA, FL 34231",9419226522,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/rcas.htm",176,,JUN 18 No Appointments,False
USPS HAINES CITY POST OFFICE,Postal,"1051 STATE ROAD 544 E HAINES CITY, FL 33844",8634222901,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",179,,JUN 18,True
USPS WINTER HAVEN MAIN POST OFFICE,Postal,"111 W CENTRAL AVE WINTER HAVEN, FL 33880",8632993296,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",179,,JUN 18 No Appointments,False
USPS COCOA POST OFFICE,Postal,"2000 STATE ROAD 524 COCOA, FL 32926",3216327190,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",184,,JUN 18 No Appointments,False
USPS ONECO POST OFFICE,Postal,"2333 53RD AVE E ONECO, FL 34264",9417524019,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",185,,JUN 18,True
USPS WIMAUMA POST OFFICE,Postal,"5608 STATE ROAD 674 WIMAUMA, FL 33598",8136344282,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",186,,JUN 18 No Appointments,False
USPS LAKELAND MAIN POST OFFICE,Postal,"2800 LAKELAND HILLS BLVD LAKELAND, FL 33805",8638022000,Yes,"BY APPOINTMENT ONLY - To schedule an appointment, visit: http://www.usps.com/scheduler.",192,,JUN 18 No Appointments,False
USPS PLANT CITY POST OFFICE,Postal,"2501 WALDEN WOODS DR PLANT CITY, FL 33566",8137196733,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",192,,JUN 18 No Appointments,False
USPS RIVERVIEW POST OFFICE,Postal,"10810 BOYETTE RD RIVERVIEW, FL 33569",8136724562,Yes,***BY APPOINTMENT ONLY*** To schedule an appointment visit www.usps.com/scheduler,192,,JUN 18 No Appointments,False
USPS CHRISTMAS POST OFFICE,Postal,"23580 E COLONIAL DR CHRISTMAS, FL 32709",4075682941,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",193,,JUN 18 No Appointments,False
USPS CORTEZ POST OFFICE,Postal,"12112 44TH AVE W CORTEZ, FL 34215",9417941219,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",193,,JUN 18 No Appointments,False
USPS SOUTH CREEK POST OFFICE,Postal,"1701 WEST WETHERBEE ROAD ORLANDO, FL 32837",4078556558,Yes,***BY APPOINTMENT ONLY*** Visit http://www.usps.com/scheduler to make an appointment.,194,,JUN 18 No Appointments,False
USPS BRANDON POST OFFICE,Postal,"1315 OAKFIELD DR BRANDON, FL 33511",8136611503,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",195,,JUN 18 No Appointments,False
USPS VALRICO POST OFFICE,Postal,"2406 STATE ROAD 60 E VALRICO, FL 33594",8136570495,Yes,To schedule an appointment visit www.usps.com/scheduler,195,,JUN 18 No Appointments,False
USPS POLK CITY POST OFFICE,Postal,"112 CARTER BLVD POLK CITY, FL 33868",8639844547,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://tools.usps.com/rcas.htm",197,,JUN 18,True
USPS ALAFAYA POST OFFICE,Postal,"650 NORTH ALAFAYA TRAIL ORLANDO, FL 32828",4072736788,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",199,,JUN 18,True
USPS FALKENBURG BRANCH,Postal,"10121 E ADAMO DR TAMPA, FL 33619",8136260654,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",199,,JUN 18 No Appointments,False
USPS SAND LAKE BRANCH,Postal,"10450 TURKEY LAKE RD ORLANDO, FL 32819",4073510613,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",200,,JUN 18 No Appointments,False
USPS DIXIE VILLAGE STATION,Postal,"2860 DELANEY AVE ORLANDO, FL 32806",4074252868,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",201,,JUN 18 No Appointments,False
KATHLEEN POST OFFICE,Postal,"6136 KATHLEEN ROAD KATHLEEN, FL 33849",8638162201,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler",203,,JUN 18 No Appointments,False
USPS DOWNTOWN ORLANDO STATION,Postal,"51 E JEFFERSON ST ORLANDO, FL 32801",4074233709,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",203,,JUN 18 No Appointments,False
USPS ORLANDO MOWU,Postal,"10401 POST OFFICE BOULEVARD ORLANDO, FL 32862",4078506334,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",203,,JUN 18 No Appointments,False
USPS HERNDON POST OFFICE,Postal,"821 HERNDON AVE ORLANDO, FL 32814",4078973469,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",204,,JUN 18 No Appointments,False
USPS GULFWINDS STATION,Postal,"4222 22ND AVE S ST. PETERSBURG, FL 33711",7273278469,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment call 727-327-8469, visit: http://www.usps.com/scheduler.",205,727-327-8469,JUN 18 No Appointments,False
USPS MIMS POST OFFICE,Postal,"3405 KELLY RD MIMS, FL 32754",3212675122,Yes,Appointments - Website: usps.com/scheduler http://tools.usps.com,207,,JUN 18,True
USPS GATEWAY STATION,Postal,"701 77TH AVE N ST. PETERSBURG, FL 33702",7275782802,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",207,,JUN 18,True
USPS TAMPA MOWU,Postal,"3501 BESSIE COLEMAN BLVD TAMPA, FL 33630",8138770395,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",208,,JUN 18 No Appointments,False
USPS NEW TAMPA POST OFFICE,Postal,"16350 BRUCE B DOWNS BLVD TAMPA, FL 33647",8139107987,Yes,"***BY APPOINTMENT ONLY*** Including Saturdays To schedule an appointment, visit: http://tools.usps.com/rcas.htm",209,,JUN 18 No Appointments,False
USPS ZEPHYRHILLS POST OFFICE,Postal,"38032 POSTAL DR ZEPHYRHILLS, FL 33542",8137150149,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/passports",209,,JUN 18 No Appointments,False
USPS CASSELBERRY MAIN POST OFFICE,Postal,"109 LIVE OAKS BLVD CASSELBERRY, FL 32707",4073397288,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",210,,JUN 18 No Appointments,False
USPS ORLANDO LOCKHART BRANCH,Postal,"5087 EDGEWATER DRIVE ORLANDO, FL 32810",4072925835,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",210,,JUN 18 No Appointments,False
USPS WINTER SPRINGS POST OFFICE,Postal,"1065 E STATE ROAD 434 WINTER SPRINGS, FL 32708",4073274569,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",211,,JUN 18 No Appointments,False
USPS EHRLICH BRANCH,Postal,"14910 NORTH DALE MABRY HIGHWAY TAMPA, FL 33618",8139083478,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",212,,JUN 18 No Appointments,False
USPS OAK HILL POST OFFICE,Postal,"129 EAST HALIFAX AVENUE OAK HILL, FL 32759",3863453574,Yes,For appointments please call 386-345-3574 or visit website: usps.com,213,386-345-3574,JUN 18,True
USPS SEMINOLE POST OFFICE,Postal,"9355 113TH ST SEMINOLE, FL 33772",7273940847,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",214,,JUN 18 No Appointments,False
USPS LAND O LAKES MAIN POST OFFICE,Postal,"5230 LAND O LAKES BLVD LAND O LAKES, FL 34639",8139961257,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",217,,JUN 18 No Appointments,False
USPS CLEARWATER MAIN POST OFFICE,Postal,"100 S BELCHER RD CLEARWATER, FL 33765",7274642906,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",218,,JUN 18 No Appointments,False
USPS INDIAN ROCKS BEACH POST OFFICE,Postal,"204 4TH AVE INDIAN ROCKS BEACH, FL 33785",7275962894,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",218,,JUN 18,True
USPS OLDSMAR POST OFFICE,Postal,"3905 TAMPA RD OLDSMAR, FL 34677",8138544660,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",219,,JUN 18 No Appointments,False
USPS DEBARY POST OFFICE,Postal,"133 S CHARLES RICHARD BEALL BLVD DEBARY, FL 32713",3866685468,Yes,To schedule an appointment for passport services Website: usps.com/scheduler,224,,JUN 18,True
USPS NEW PORT RICHEY MAIN POST OFFICE,Postal,"6550 MAIN ST NEW PORT RICHEY, FL 34653",7278471659,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",229,,JUN 18 No Appointments,False
US POSTAL SERVICE LAKE HELEN FL,Postal,"104 E. MICHIGAN AVE. LAKE HELEN, FL 32744",3862282227,Yes,For appointments visit website: usps.com,230,,JUN 18,True
BROOKSVILLE MAIN POST OFFICE,Postal,"19101 CORTEZ BLVD. BROOKSVILLE, FL 34601",3525444093,Yes,"***BY APPOINTMENT ONLY*** Call 800-275-8777 To schedule an appointment, visit: http://www.usps.com/scheduler",235,800-275-8777,JUN 18 No Appointments,False
USPS HUDSON POST OFFICE,Postal,"13610 BIG BEND DR HUDSON, FL 34667",7278190073,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",235,,JUN 18,True
USPS DAYTONA BEACH MAIN POST OFFICE,Postal,"500 BILL FRANCE BOULEVARD DAYTONA BEACH, FL 32114",3862746329,Yes,For appointments please visit website usps.com/scheduler,241,,JUN 18,True
USPS DE LEON SPRINGS POST OFFICE,Postal,"155 PONCE DE LEON BLVD DE LEON SPRINGS, FL 32130",3869854326,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",244,,JUN 18,True
USPS SUMMERFIELD POST OFFICE,Postal,"14560 S US HWY 301 SUMMERFIELD, FL 34491",3522452784,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",249,,JUN 18,True
USPS HOLDER POST OFFICE,Postal,"6906 N FLORIDA AVE HOLDER, FL 34445",3524895351,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",257,,JUN 18,True
USPS BUNNELL MAIN POST OFFICE,Postal,"704 E MOODY BVLD BUNNELL, FL 32110",3864378453,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",261,,JUN 18,True
OCALA PADDOCK BRANCH,Postal,"4545 S.W. 60TH AVENUE OCALA, FL 34474",3524217176,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler",262,,JUN 18,True
USPS INTERLACHEN POST OFFICE,Postal,"100 MATHE AVE INTERLACHEN, FL 32148",3866842228,Yes,"To schedule an appointment, visit USPS.com Website and click on Schedule An Appointment",284,,JUN 18,True
USPS ARCHER POST OFFICE,Postal,"13553 SW STATE ROAD 45 ARCHER, FL 32618",3524952565,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",296,,JUN 18,True
USPS MAIN STREET STATION,Postal,"1401 N MAIN ST GAINESVILLE, FL 32601",3522716392,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",296,,JUN 18,True
USPS FLEMING ISLAND POST OFFICE,Postal,"1880 EASTWEST PKWY FLEMING ISLAND, FL 32003",9042648913,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",312,,JUN 18 No Appointments,False
PONTE VEDRA BEACH POST OFFICE,Postal,"130 CORRIDOR ROAD PONTE VEDRA BEACH, FL 32082",9046863955,No,"BY APPOINTMENT ONLY - To schedule an appointment, Visit: http://www.usps.com/scheduler",312,,JUN 18 No Appointments,False
USPS MANDARIN POST OFFICE,Postal,"4411 SUNBEAM RD JACKSONVILLE, FL 32257",9043664852,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",316,,JUN 18 No Appointments,False
USPS POTTSBURG STATION,Postal,"10700 BEACH BLVD JACKSONVILLE, FL 32246",9046412172,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",321,,JUN 18 No Appointments,False
USPS JACKSONVILLE MAIN OFFICE WINDOW UNIT,Postal,"1100 KINGS ROAD JACKSONVILLE, FL 32203",9043664888,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit https://www.usps.com/scheduler.",327,,JUN 18 No Appointments,False
USPS GLEN SAINT MARY POST OFFICE,Postal,"7345 W MOUNT VERNON ST GLEN SAINT MARY, FL 32040",9042596789,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",332,,JUN 18,True
USPS MAYO POST OFFICE,Postal,"157 E MAIN ST MAYO, FL 32066",3862941623,Yes,Appointment Not Required | Walk-In To schedule appointment: 386-294-1623 website: usps.com/scheduler,341,386-294-1623,JUN 18,True
USPS FERNANDINA BEACH MAIN POST OFFICE,Postal,"1997 SADLER RD FERNANDINA BEACH, FL 32034",9044914680,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",342,,JUN 18 No Appointments,False
