Name,Type,Address,Phone,PhotoOnSite,Comments,Distance,url,domain,phone,NeedsAppointment
BROWARD COUNTY CLERK OF COURT - SOUTH REGIONAL COURTHOUSE,Court,"3550 HOLLYWOOD BLVD HOLLYWOOD, FL 33021",9548310342,Yes,By Appointment Only - Please call 954-831-0342 Website: htttp://www.browardclerk.org,16,https://htttp://browardclerk.org,htttp,954-831-0342,True
MIAMI-DADE PUBLIC LIBRARY SYSTEM - SOUTH DADE REGIONAL LIBRARY,Library,"10750 SW 211TH ST MIAMI, FL 33189",3052338140,No,BY APPOINTMENT ONLY To schedule an appointment contact (305)233-8140 Website: www.mdpls.org,17,https://mdpls.org,mdpls,305-233-8140,True
CITY OF COOPER CITY,Municipal,"9090 SW 50TH PLACE COOPER CITY, FL 33328",9544344300,No,By Appointments Only Please contact us via https://www.coopercityfl.org,20,https://coopercityfl.org,coopercityfl,,True
BROWARD COUNTY CLERK OF COURT - CENTRAL COURTHOUSE,Court,"201 SE 6TH ST FORT LAUDERDALE, FL 33301",9548312343,Yes,Appointment Not Required | Walk-In,23,,,,False
"BROWARD COUNTY RECORDS, TAXES AND TREASURY DIVISION - PASSPORT SECTION",County / State,"115 S ANDREWS AVE FORT LAUDERDALE, FL 33301",9548314000,No,Appointment Not Required | Walk-In,23,,,,False
BROWARD COUNTY CLERK OF COURT - WEST REGIONAL COURTHOUSE,Court,"100 NORTH PINE ISLAND ROAD PLANTATION, FL 33324",9548312311,Yes,By Appointment Only Please call 954-831-2311 Website: http://www.browardclerk.org,23,https://browardclerk.org,browardclerk,954-831-2311,True
CITY OF CORAL SPRINGS - CITY HALL IN THE MALL,Municipal,"9239 W ATLANTIC BLVD CORAL SPRINGS, FL 33071",9543441828,Yes,APPOINTMENTS: TUES/THURS 3:00PM-5:00PM SATURDAY: 10:00AM-4:00PM TO MAKE AN APPOINTMENT VISIT: WWW.CORALSPRINGS.ORG/PASSPORT,32,https://coralsprings.org/passport,coralsprings,,Unknown
BROWARD COUNTY CLERK OF COURT - NORTH REGIONAL COURTHOUSE,Court,"1600 W HILLSBORO BLVD DEERFIELD BEACH, FL 33442",9548311456,Yes,By Appointment Only - Please call 954-831-1456 Website: http://www.browardclerk.org,36,https://browardclerk.org,browardclerk,954-831-1456,True
PALM BEACH COUNTY CLERK OF COURT- SOUTH COUNTY COURTHOUSE,Court,"200 W ATLANTIC AVE DELRAY BEACH, FL 33444",5612741588,No,By Appointments Only https://www.mypalmbeachclerk.com/records/passports/request-passport-appointment,46,https://mypalmbeachclerk.com/records/passports/request-passport-appointment,mypalmbeachclerk,,True
CITY OF GREENACRES - CITY HALL,Municipal,"5800 MELALEUCA LANE GREENACRES, FL 33463",5616422024,Yes,Website: www.greenacresfl.gov,56,https://greenacresfl.gov,greenacresfl,,Unknown
PALM BEACH COUNTY LIBRARY SYSTEM - MAIN LIBRARY,Library,"3650 SUMMIT BLVD. WEST PALM BEACH, FL 33406",5612332788,No,By Appointment Only Please call (561)233-2788 for further assistance. http://www.pbclibrary/passport,61,,,561-233-2788,True
PALM BEACH COUNTY CLERK OF COURT - WEST COUNTY COURTHOUSE,Court,"2950 STATE ROAD 15 BELLE GLADE, FL 33430",5619964843,No,Appointment Required via phone 561-996-4843 or website: www.mypalmbeachclerk.com,67,https://mypalmbeachclerk.com,mypalmbeachclerk,561-996-4843,True
USPS SOUTH BAY POST OFFICE,Postal,"190 U.S. HIGHWAY 27 SOUTH SOUTH BAY, FL 33493",5619965390,Yes,***No Appointment Required*** Tel. 561 983-9105,70,,,561-983-9105,False
COLLIER COUNTY CLERK OF COURT - EVERGLADES CITY HALL,Court,"102 COPELAND AVE EVERGLADES CITY, FL 34139",2396952511,No,Appointment Not Required | Walk-In,73,,,,False
PALM BEACH COUNTY CLERK OF COURT - NORTH COUNTY COURTHOUSE,Court,"3188 PGA BLVD PALM BEACH GARDENS, FL 33410",5616246650,No,Appointment Required - Please call 561-624-6650 or visit Website: https://www.mypalmbeachclerk.com/records/passports,74,https://mypalmbeachclerk.com/records/passports,mypalmbeachclerk,561-624-6650,True
COLLIER COUNTY CLERK OF COURT - IMMOKALEE COURTHOUSE,Court,"106 S 1ST ST IMMOKALEE, FL 34142",2392522909,No,Appointment Not Required | Walk-In Please call 239-252-2909,76,,,239-252-2909,False
COLLIER COUNTY CLERK OF COURT - EAGLE CREEK SATELLITE OFFICE,Court,"6654 COLLIER BLVD. #101 NAPLES, FL 34114",2392522654,No,No Appointments Required - Walk-ins Welcomed,85,,,,False
MARTIN COUNTY CLERK OF COURT - HOBE SOUND BRANCH OFFICE,Court,"11730 SE FEDERAL HWY HOBE SOUND, FL 33455",7725461308,Yes,For appointments please call 772-546-1308 Website: www.martincountyclerk.com,86,https://martincountyclerk.com,martincountyclerk,772-546-1308,Unknown
HENDRY COUNTY CLERK OF CIRCUIT COURT,Court,"25 E HICKPOCHEE AVE LABELLE, FL 33935",8636755217,Yes,By Appointments Only Please contact us at 863-675-5217 OR 863-675-5216 for further assistance. Website: wwwhendryclerk.org,91,https://wwwhendryclerk.org,wwwhendryclerk,863-675-5217,True
USPS MARATHON POST OFFICE,Postal,"5171 OVERSEAS HWY MARATHON, FL 33050",3057435238,Yes,***By Appointment Only***Contact 305-743-5238 for Further Assistance.,92,,,305-743-5238,True
MARTIN COUNTY CLERK OF COURT - COURTHOUSE STUART OFFICE,Court,"100 SE OCEAN BLVD STUART, FL 34994",7722885553,Yes,For appointment please call 772-288-5553 Website: www.martinclerk.com,96,https://martinclerk.com,martinclerk,772-288-5553,Unknown
COLLIER COUNTY CLERK OF CIRCUIT COURT - MAIN OFFICE,Court,"3315 E TAMIAMI TRL E NAPLES, FL 34112",2392527242,No,Appointments please call (239)252-7242 for further assistance. Visit Website: collierclerk.com,98,https://collierclerk.com,collierclerk,239-252-7242,Unknown
COLLIER COUNTY CLERK OF COURT - GOLDEN GATE ANNEX,Court,"4715 GOLDEN GATE PKWY NAPLES, FL 34116",2392522750,No,Appointment Not Required | Walk-In,98,,,,False
COLLIER COUNTY CLERK OF COURT - NORTH COLLIER GOVERNMENT SERVICES CENTER,Court,"2335 ORANGE BLOSSOM DR NAPLES, FL 34109",2392525477,No,Appointment Not Required | Walk-In,102,,,,False
GLADES COUNTY CLERK OF COURT,Court,"500 AVE J MOORE HAVEN, FL 33471",8639466010,No,Appointment Not Required | Walk-In,103,,,,False
CLERK AND COMPTROLLER ST. LUCIE COUNTY - SOUTH COUNTY ANNEX,Court,"250 NW COUNTRY CLUB DR PORT ST. LUCIE, FL 34986",7728717200,Yes,By appointment only at Website: www.stlucieclerk.com,107,https://stlucieclerk.com,stlucieclerk,,True
CLERK AND COMPTROLLER ST. LUCIE COUNTY - MAIN OFFICE,Court,"201 S INDIAN RIVER DR FT. PIERCE, FL 34950",7724623207,Yes,By appointment only at Website: stlucieclerk.com,115,https://stlucieclerk.com,stlucieclerk,,True
FLORIDA GULF COAST UNIVERSITY (FGCU) INTERNATIONAL SERVICES OFFICE,School,"10501 FGCU BOULEVARD SOUTH FORT MYERS, FL 33965",2395907925,No,For appointments contact 239-590-7925,116,,,239-590-7925,Unknown
LEE COUNTY CLERK OF COURT,Court,"2115 2ND ST FT. MYERS, FL 33901",2395335007,No,By Appointments Only Please contact us at 239-533-5007,119,,,239-533-5007,True
CITY OF CAPE CORAL,Municipal,"1015 CULTURAL PARK BLVD CAPE CORAL, FL 33990",2395740411,Yes,By Appointments Only Please call 239-574-0411 for further assistance,123,,,239-574-0411,True
OKEECHOBEE COUNTY CLERK OF CIRCUIT COURT,Court,"312 NW 3RD ST OKEECHOBEE, FL 34972",8637632131,No,***No Appointments Required***,123,,,,False
MONROE COUNTY TAX COLLECTOR,County / State,"1200 TRUMAN AVENUE KEY WEST, FL 33040",3052955000,Yes,By Appointments Only Please contact 305-295-5000 for further assistance,125,,,305-295-5000,True
THE COLLEGE OF THE FLORIDA KEYS,School,"5901 COLLEGE RD KEY WEST, FL 33040",3058093186,No,No appointments necessary - you may call (305) 809-3186 - Website: https://www.cfk.edu/community-resources/us-passport,125,https://cfk.edu/community-resources/us-passport,cfk,305-809-3186,False
INDIAN RIVER COUNTY CLERK OF COURT - VERO BEACH COURTHOUSE,Court,"2000 16TH AVE VERO BEACH, FL 32960",7722263100,No,Appointment only - visit our Website: www.clerk.indian-river.org,128,https://clerk.indian-river.org,indian-river,,True
CHARLOTTE COUNTY CLERK OF COURT - CHARLOTTE COUNTY JUSTICE CENTER,Court,"350 E MARION AVE PUNTA GORDA, FL 33950",9416372335,No,Appointment Not Required | Walk-In,138,,,,False
DESOTO COUNTY CLERK OF COURT,Court,"115 EAST OAK STREET ARCADIA, FL 34266",8639934876,Yes,By Appointment Only - Please contact us at 863-993-4876,142,,,863-993-4876,True
CHARLOTTE COUNTY CLERK OF COURT- MURDOCK ADMINISTRATION BUILDING,Court,"18500 MURDOCK CIR PORT CHARLOTTE, FL 33948",9416372335,No,Appointment Not Required | Walk-In,146,,,,False
BREVARD COUNTY CLERK OF COURT - PALM BAY OFFICE,Court,"450 COGAN DR SE PALM BAY, FL 32909",3216375413,No,Appointment Not Required | Walk-In,149,,,,False
CITY OF PALM BAY,Municipal,"120 MALABAR RD PALM BAY, FL 32907",3217333023,No,Appointments Required Please contact us at (321)733-3023,157,,,321-733-3023,True
HARDEE COUNTY CLERK OF COURT,Court,"417 W MAIN ST WAUCHULA, FL 33873",8637734174,Yes,For appointments please call 863-773-4174 Website: www.hardeeclerk.com,158,https://hardeeclerk.com,hardeeclerk,863-773-4174,Unknown
BREVARD COUNTY CLERK OF COURT - MELBOURNE BRANCH COURTHOUSE,Court,"51 S NIEMAN AVE MELBOURNE, FL 32901",3216375413,Yes,Appointment Not Required | Walk-In,160,,,,False
SARASOTA COUNTY CLERK OF COURT - VENICE BRANCH,Court,"4000 S TAMIAMI TRAIL VENICE, FL 34293",9418617436,Yes,By Appointments Only Please call 941-861-7436 for further assistance,161,,,941-861-7436,True
BREVARD COUNTY CLERK OF COURT - MOORE JUSTICE CENTER,Court,"2825 JUDGE FRAN JAMISON WAY VIERA, FL 32940",3216375413,Yes,No Appointment Required / Walk-Ins Welcome,171,,,,False
POLK COUNTY CLERK OF COURT - BARTOW BRANCH,Court,"255 N BROADWAY AVE BARTOW, FL 33830",8635344000,Yes,For Appointments please call 863-534-4000 Website: https://www.polkcountyclerk.net,174,https://polkcountyclerk.net,polkcountyclerk,863-534-4000,Unknown
SARASOTA COUNTY CLERK OF COURT - MAIN OFFICE,Court,"2000 MAIN ST SARASOTA, FL 34236",9418617436,Yes,By Appointment Only Please call 941-861-7436 for further assistance Website: www.sarasotaclerk.com,180,https://sarasotaclerk.com,sarasotaclerk,941-861-7436,True
CITY OF COCOA - OFFICE OF THE CITY CLERK,Municipal,"65 STONE ST COCOA, FL 32922",3214338480,No,"***BY APPOINTMENT ONLY*** To schedule an appointment, please contact (321)433-8480 Website: www.cocoafl.org",181,https://cocoafl.org,cocoafl,321-433-8480,True
POLK COUNTY CLERK OF COURT - NORTHEAST BRANCH,Court,"3425 LAKE ALFRED RD WINTER HAVEN, FL 33881",8635344000,Yes,For appointment please contact 863-534-4000,182,,,863-534-4000,Unknown
BREVARD COUNTY CLERK OF COURT - MERRITT ISLAND OFFICE,Court,"2575 N COURTENAY PKWY MERRITT ISLAND, FL 32953",3216375413,Yes,***Appointment Not Required | Walk-In***,187,,,,False
MANATEE COUNTY CLERK OF COURT,Court,"1115 MANATEE AVE W BRADENTON, FL 34205",9417414022,Yes,For appointment please call 941-741-4022 Website: www.manateeclerk.com,188,https://manateeclerk.com,manateeclerk,941-741-4022,Unknown
POLK COUNTY CLERK OF COURT - LAKELAND BRANCH,Court,"930 E PARKER ST LAKELAND, FL 33801",8635344000,Yes,For appointment please call 863-534-4000 Website: wwwpolkcountyclerk.net,188,https://wwwpolkcountyclerk.net,wwwpolkcountyclerk,863-534-4000,Unknown
OSCEOLA COUNTY CLERK OF COURT - MAIN OFFICE,Court,"2 COURTHOUSE SQ KISSIMMEE, FL 34741",4077423530,No,By Appointment Only - Please call 407-742-3530 Website: www.osceolaclerk.com,190,https://osceolaclerk.com,osceolaclerk,407-742-3530,True
BREVARD COUNTY CLERK OF COURT - PARKWAY COMPLEX,Court,"700 S PARK AVE TITUSVILLE, FL 32780",3216372006,Yes,Appointment Not Required | Walk-In,194,,,,False
BREVARD COUNTY CLERK OF COURTS - FULL SERVICE COUNTER,Court,"400 SOUTH ST TITUSVILLE, FL 32780",3216375413,No,Appointment Not Required | Walk-In,194,,,,False
HILLSBOROUGH COUNTY CLERK OF COURT - PLANT CITY BRANCH,Court,"301 N MICHIGAN AVE PLANT CITY, FL 33563",8132768100,No,***By Appointment Only***Contact 813-307-7178 for Further Assistance.,195,,,813-307-7178,True
ORANGE COUNTY CLERK OF COURT - ORANGE COUNTY COURTHOUSE,Court,"425 N ORANGE AVE ORLANDO, FL 32801",4078362000,Yes,By Appointment only schedule online at www.myorangeclerk.com,203,https://myorangeclerk.com,myorangeclerk,,True
PINELLAS COUNTY CLERK OF COURT - ST. PETERSBURG BRANCH OFFICE,Court,"545 1ST AVE N ST. PETERSBURG, FL 33701",7274647000,Yes,Appointment Not Required | Walk-In Website: mypinellasclerk.org,203,https://mypinellasclerk.org,mypinellasclerk,,False
UNIVERSITY OF CENTRAL FLORIDA - THE SPOT,School,"106 AQUARIUS AGORA DR ORLANDO, FL 32816",4078232500,Yes,Appointment Not Required | Walk-In Website: spot.ucf.edu,204,https://spot.ucf.edu,ucf,,False
HILLSBOROUGH COUNTY CLERK OF COURT - DOWNTOWN TAMPA,Court,"419 PIERCE ST TAMPA, FL 33602",8132768100,No,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: WWW.HILLSCLERK.COM",205,https://hillsclerk.com,hillsclerk,,True
ORANGE COUNTY CLERK OF COURT - WINTER PARK BRANCH,Court,"450 N LAKEMONT AVE WINTER PARK, FL 32792",4078366000,Yes,By Appointment only- schedule appointment: myorangeclerk.com,206,https://myorangeclerk.com,myorangeclerk,,True
GULFPORT PUBLIC LIBRARY,Library,"5501 28TH AVE S GULFPORT, FL 33707",7278931074,No,By Appointment Only Please call 727-893-1074 or go to https://mygulfport.us/gpl/passports/ for further assistance,207,https://mygulfport.us/gpl/passports,mygulfport,727-893-1074,True
ORANGE COUNTY CLERK OF COURT - OCOEE BRANCH,Court,"475 STORY RD OCOEE, FL 34761",4078362007,Yes,Appointment Required- To schedule appointment: myorangeclerk.com,209,https://myorangeclerk.com,myorangeclerk,,True
USF SHIMBERG HEALTH SCIENCES LIBRARY,Library,"12901 BRUCE B. DOWNS TAMPA, FL 33612",8139748432,No,For Scheduling an Appointment visit: https://health.usf.edu/libraries/passport-information,209,https://health.usf.edu/libraries/passport-information,usf,,Unknown
LAKE COUNTY CLERK - CLERMONT,Court,"290 CITRUS TOWER BLVD. SUITE 116 CLERMONT, FL 34711",3523942018,Yes,Appointment required - please call 352-394-2018 Website: www.lakecountyclerk.org,213,https://lakecountyclerk.org,lakecountyclerk,352-394-2018,True
SEMINOLE COUNTY CLERK OF COURT - RECORDS CENTER,Court,"1750 E LAKE MARY BLVD SANFORD, FL 32773",4076654405,Yes,"For Appointment please call 407-665-4405 - Walk-ins accepted starting June 1, 2021 Website: seminoleclerk.org",215,https://seminoleclerk.org,seminoleclerk,407-665-4405,False
PASCO COUNTY CLERK OF COURT - EAST PASCO GOVERNMENT CENTER,Court,"14236 6TH ST DADE CITY, FL 33523",3525214406,Yes,Appointment Not Required | Walk-In,216,,,,False
PINELLAS COUNTY CLERK OF COURT - CLEARWATER BRANCH,Court,"315 COURT ST CLEARWATER, FL 33756",7274647000,Yes,Appointment Not Required | Walk-In,218,,,,False
ORANGE COUNTY CLERK OF COURT - APOPKA BRANCH,Court,"1111 N ROCK SPRINGS RD APOPKA, FL 32712",4078362007,Yes,***Appointments Required*** To schedule an appointment: myorangeclerk.com,219,https://myorangeclerk.com,myorangeclerk,,True
PINELLAS COUNTY CLERK OF COURT - NORTH COUNTY BRANCH,Court,"29582 US HWY 19 N CLEARWATER, FL 33761",7274647000,Yes,Appointment Not Required | Walk-In Website: http://www.mypinellasclerk.org,220,https://mypinellasclerk.org,mypinellasclerk,,False
USPS EDGEWATER POST OFFICE,Postal,"400 S RIDGEWOOD AVE EDGEWATER, FL 32132",3864286656,Yes,Appointment Not Required | Walk-In,225,,,,False
LAKE COUNTY CLERK OF COURT - LAKE COUNTY COURTHOUSE,Court,"550 W MAIN ST TAVARES, FL 32778",3522532648,Yes,By Appointments Only**Please call 352-253-2648 for further assistance - Website: www.lakecountyclerk.org,226,https://lakecountyclerk.org,lakecountyclerk,352-253-2648,True
PASCO COUNTY CLERK OF COURT - WEST PASCO GOVERNMENT CENTER,Court,"8731 CITIZENS DR NEW PORT RICHEY, FL 34654",7278478086,Yes,Appointment Not Required | Walk-In Website: pascoclerk.com,228,https://pascoclerk.com,pascoclerk,,False
EUSTIS MEMORIAL LIBRARY,Library,"120 NORTH CENTER STREET EUSTIS, FL 32726",3523575686,Yes,By Appointments Only Please Call 352-357-5686 for further assistance,231,,,352-357-5686,True
SUMTER COUNTY CLERK OF COURT - MAIN OFFICE,Court,"215 E MCCOLLUM AVE BUSHNELL, FL 33513",3525696600,Yes,Appointment Not Required | Walk-In Website: sumterclerk.com,233,https://sumterclerk.com,sumterclerk,,False
LAKE COUNTY LIBRARY SYSTEM - LEESBURG PUBLIC LIBRARY,Library,"100 E MAIN ST LEESBURG, FL 34748",3527289790,Yes,BY APPOINTMENT ONLY please contact (352)728-9790. Website: wwwleesburgflorida.gov/library,233,https://wwwleesburgflorida.gov/library,wwwleesburgflorida,352-728-9790,True
VOLUSIA COUNTY CLERK OF COURT - VOLUSIA COUNTY COURTHOUSE,Court,"101 N ALABAMA AVE DELAND, FL 32724",3867365913,Yes,***No Appointment Required***Contact 386-736-5913 for further assistance. Website: www.clerk.org,234,https://clerk.org,clerk,386-736-5913,False
HERNANDO COUNTY CLERK OF COURT - MAIN OFFICE,Court,"20 N MAIN ST BROOKSVILLE, FL 34601",3525406768,Yes,For appointment please call 352-540-6768 Website: hernandoclerk.org,235,https://hernandoclerk.org,hernandoclerk,352-540-6768,Unknown
USPS PAISLEY POST OFFICE,Postal,"24952 COUNTY ROAD 42 PAISLEY, FL 32767",3526694253,Yes,Appointment Not Required | Walk-In,236,,,,False
HERNANDO COUNTY CLERK OF COURT - SPRING HILL OFFICE,Court,"7405 FOREST OAKS BLVD SPRING HILL, FL 34606",3525406768,Yes,For appointment please contact (352)540-6768 Website: www.hernandoclerk.com,237,https://hernandoclerk.com,hernandoclerk,352-540-6768,Unknown
LAKE COUNTY CLERK OF COURT - NORTH LAKE BRANCH OFFICE,Court,"902 AVENIDA CENTRAL LADY LAKE, FL 32159",3527532064,Yes,*Appointment Required - to schedule appointment please call 352-753-2064 or Website: www.lakecountyclerk.org,241,https://lakecountyclerk.org,lakecountyclerk,352-753-2064,True
"ANGELA VICK, CITRUS COUNTY CLERK OF THE CIRCUIT COURT AND COMPTOLLER",Court,"CLERK ANNEX 120 N. MONTGOMERY AVENUE INVERNESS, FL 34450",3523416424,Yes,For appointments visit Website: https://www.citrusclerk.org,245,https://citrusclerk.org,citrusclerk,,Unknown
PUTNAM COUNTY CLERK OF COURT - CRESCENT CITY SATELLITE OFFICE,Court,"115 N SUMMIT ST CRESCENT CITY, FL 32190",3866981217,No,Appointment Not Required | Walk-In,257,,,,False
ANGELA VICK CLERK OF THE CIRCUIT COURT AND COMPTROLLER - CRYSTAL RIVER,Court,"1540 N MEADOWCREST BLVD. CRYSTAL RIVER, FL 34429",3523416424,Yes,By Appointment Only - Website: https://www.citrusclerk.org,258,https://citrusclerk.org,citrusclerk,,True
FLAGLER COUNTY PUBLIC LIBRARY- BUNNELL BRANCH,Library,"103 E. MOODY BLVD. BUNNELL, FL 32110",3864377390,Yes,To Schedule appointments please contact them at 386-437-7390 Website: www.flaglerlibrary.org,261,https://flaglerlibrary.org,flaglerlibrary,386-437-7390,Unknown
MARION COUNTY CLERK OF COURT - ANNEX BUILDING,Court,"19 NORTHWEST PINE AVENUE OCALA, FL 34475",3526715588,No,No Appointment Required / Walk-Ins Welcome Visit Website: www.marioncountyclerk.org,266,https://marioncountyclerk.org,marioncountyclerk,,False
FLAGLER COUNTY PUBLIC LIBRARY - MAIN BRANCH,Library,"2500 PALM COAST PKWY NW PALM COAST, FL 32137",3864466763,Yes,"Walk In: Monday-Friday Saturday by appointment only, please contact (386)446-6763 #2",270,,,386-446-6763,False
USPS REDDICK POST OFFICE,Postal,"15373 NW GAINESVILLE RD REDDICK, FL 32686",3525912832,Yes,Appointment Not Required | Walk-In To schedule appointment call 352-591-2832,280,,,352-591-2832,False
PUTNAM COUNTY CLERK OF COURT - RECORDING DEPARTMENT,Court,"518 ST. JOHNS AVE PALATKA, FL 32177",3863267680,No,Appointment Not Required | Walk-In,287,,,,False
ST. JOHNS COUNTY CLERK OF COURTS - MAIN OFFICE,Court,"4010 LEWIS SPEEDWAY ST. AUGUSTINE, FL 32084",9048193632,No,***Appointment Not Required | Walk-In*** Website: https://stjohnsclerk.com,292,https://stjohnsclerk.com,stjohnsclerk,,False
ALACHUA COUNTY CLERK OF COURT - FAMILY/CIVIL JUSTICE CENTER,Court,"201 E UNIVERSITY AVE GAINESVILLE, FL 32601",3523743625,Yes,Appointments Required - Call 352-374-3636 or 352-374-3625 for further assistance.,296,,,352-374-3636,True
UNIVERSITY OF FLORIDA - MAIL AND DOCUMENT SERVICES,School,"3030 RADIO RD GAINESVILLE, FL 32611",3523921134,Yes,By appointment contact (352)392-1134 businessservices.ufl.edu/services/passport-services,297,https://businessservices.ufl.edu/services/passport-services,ufl,352-392-1134,Unknown
CLAY COUNTY CLERK OF COURT - MAIN OFFICE,Court,"825 N ORANGE AVE GREEN COVE SPRINGS, FL 32043",9045293714,No,Appointments please call 904-529-3714 Website: clayclerk.com/our-services/passports,303,https://clayclerk.com/our-services/passports,clayclerk,904-529-3714,Unknown
GILCHRIST COUNTY CLERK OF COURT,Court,"112 S MAIN ST TRENTON, FL 32693",3524633170,Yes,For appointment please call 352-463-3170 Website: gilchristclerk.com,310,https://gilchristclerk.com,gilchristclerk,352-463-3170,Unknown
BRADFORD COUNTY CLERK OF COURT,Court,"945 N TEMPLE AVE STARKE, FL 32091",9049666280,Yes,Appointment Required - Call 904-966-6280 Website: bradfordcountyfl.gov,311,https://bradfordcountyfl.gov,bradfordcountyfl,904-966-6280,True
CLAY COUNTY CLERK OF COURT - ORANGE PARK BRANCH,Court,"1478 PARK AVE ORANGE PARK, FL 32073",9045412784,No,By Appointment Only**Please call 904-541-2784 for further assistance - visit: clayclerk.com,317,https://clayclerk.com,clayclerk,904-541-2784,True
DUVAL COUNTY CLERK OF COURT - BEACHES BRANCH,Court,"1543 ALTANTIC BLVD NEPTUNE BEACH, FL 32266",9042552000,No,For Appointment visit website: https://www2.duvalclerk.com,321,https://www2.duvalclerk.com,duvalclerk,,Unknown
UNION COUNTY CLERK OF COURTS,Court,"55 W MAIN ST LAKE BUTLER, FL 32054",3864963711,No,Appointment Not Required | Walk-In / Website: unionclerk.com,323,https://unionclerk.com,unionclerk,,False
DUVAL COUNTY CLERK OF COURT - DOWNTOWN COURTHOUSE,Court,"501 W ADAMS ST JACKSONVILLE, FL 32202",9042551930,No,By Appointments Only Website: www.duvalclerk.com,326,https://duvalclerk.com,duvalclerk,,True
BAKER COUNTY CLERK OF COURT,Court,"339 E MACCLENNY AVE MACCLENNY, FL 32063",9042598113,No,***No Appointment Required/ Walk-In***,331,,,,False
LAFAYETTE COUNTY CLERK OF COURT,Court,"120 W MAIN ST MAYO, FL 32066",3862941600,No,***No Appointment Required***,341,,,,False
NASSAU COUNTY PUBLIC LIBRARY SYSTEM - FERNANDINA BEACH BRANCH,Library,"25 N 4TH ST FERNANDINA BEACH, FL 32034",9045306500,Yes,No Appointments Needed Please call 904-530-6500 or go to Website: www.nassaureads.com,342,https://nassaureads.com,nassaureads,904-530-6500,False
COLUMBIA COUNTY CLERK OF COURT,Court,"173 NE HERNANDO AVE LAKE CITY, FL 32055",3867547005,No,Appointment Not Required | Walk-In,343,,,,False
